= World Cup 1930    # 13 Teams

== Argentina (ARG)   # 22 players

   -  DF  Étienne Mattler                    ##    1, FC Sochaux 

   -  MF  Augustin Chantrel                  ##    8, CASG Paris 
   -  MF  Jean Laurent                       ##    3, FC Sochaux 
   -  MF  Marcel Pinel                       ##    3, Red Star Paris 
   -  MF  Célestin Delmer                    ##    2, Amiens AC 
   -  MF  Alexandre Villaplane               ##   22, Racing Club de France 

   -  FW  André Maschinot                    ##    3, FC Sochaux 
   -  FW  Lucien Laurent                     ##    2, FC Sochaux 
   -  FW  Marcel Langiller                   ##    8, Excelsior AC Roubaix 
   -  FW  Edmond Delfour                     ##    6, Racing Club de France 
   -  FW  Émile Veinante                     ##    3, Racing Club de France 
   -  FW  Ernest Libérati                    ##    3, Amiens AC 


== Mexico (MEX)   # 17 players

   -  GK  Isidoro Sota                       ##    -, América 
   -  GK  Oscar Bonfiglio                    ##    -, Marte 

   -  DF  Francisco Garza Gutiérrez          ##    -, América 
   -  DF  Manuel Rosas                       ##    -, Atlante 
   -  DF  Rafael Garza Gutiérrez             ##    -, América 

   -  MF  Alfredo Sánchez                    ##    -, América 
   -  MF  Felipe Rosas                       ##    -, Atlante 
   -  MF  Raymundo Rodríguez                 ##    -, Marte 
   -  MF  Efraín Amézcua                     ##    -, Atlante 

   -  FW  Felipe Olivares                    ##    -, Atlante 
   -  FW  Luis Pérez                         ##    -, Necaxa 
   -  FW  Hilario López                      ##    -, Marte 
   -  FW  Roberto Gayón                      ##    -, América 
   -  FW  Jesús Castro                       ##    -, Deportivo Mexico 
   -  FW  José Ruíz                          ##    -, Necaxa 
   -  FW  Juan Carreño                       ##    -, Atlante 
   -  FW  Dionisio Mejía                     ##    -, Atlante 


== Peru (PER)   # 20 players

   -  GK  Jorge Pardon                       ##    -, Sporting Tabaco 
   -  GK  Juan Valdivieso                    ##    -, Alianza Lima 

   -  DF  Antonio Maquilón                   ##    -, Tarapacá Ferroviario 
   -  DF  Mario de las Casas                 ##    -, Lawn Tennis de la Exposición 
   -  DF  Arturo Fernández                   ##    -, Universitario de Deportes 
   -  DF  Alberto Soria                      ##    -, Alianza Lima 

   -  MF  Plácido Galindo                    ##    -, Universitario de Deportes 
   -  MF  Domingo García                     ##    -, Alianza Lima 
   -  MF  Julio Quintana                     ##    -, Alianza Lima 
   -  MF  Alberto Denegri                    ##    -, Alianza Lima 
   -  MF  Eduardo Astengo                    ##    -, Universitario de Deportes 

   -  FW  Demetrio Neyra                     ##    -, Alianza Lima 
   -  FW  Pablo Pacheco                      ##    -, Universitario de Deportes 
   -  FW  Julio Lores                        ##    -, Association FBC 
   -  FW  Lizardo Rodríguez Nue              ##    -, Sport Progreso 
   -  FW  Jorge Sarmiento                    ##    -, Alianza Lima 
   -  FW  José María Lavalle                 ##    -, Alianza Lima 
   -  FW  Luis Souza Ferreira                ##    -, Universitario de Deportes 
   -  FW  Carlos Cillóniz                    ##    -, Universitario de Deportes 
   -  FW  Alejandro Villanueva               ##    -, Alianza Lima 


== Paraguay (PAR)   # 22 players

   -  GK  Pedro Benítez                      ##    -, Libertad 
   -  GK  Modesto Denis                      ##    -, Nacional 

   -  DF  José Miracca                       ##    -, Nacional 
   -  DF  Quiterio Olmedo                    ##    -, Nacional 
   -  DF  Salvador Flores                    ##    -, Cerro Porteño 
   -  DF  Eustacio Chamorro                  ##    -, Presidente Hayes 

   -  MF  Francisco Aguirre                  ##    -, Olimpia 
   -  MF  Eusebio Díaz                       ##    -, Guaraní 
   -  MF  Santiago Benítez                   ##    -, Olimpia 
   -  MF  Romildo Etcheverry                 ##    -, Olimpia 
   -  MF  Diego Florentín                    ##    -, River Plate 
   -  MF  Tranquilino Garcete                ##    -, Libertad 

   -  FW  Delfín Benítez Cáceres             ##    -, Libertad 
   -  FW  Aurelio González                   ##    -, Olimpia 
   -  FW  Saguier Carreras                   ##    -, Sportivo Luqueño 
   -  FW  Lino Nessi                         ##    -, Libertad 
   -  FW  Diógenes Domínguez                 ##    -, Sportivo Luqueño 
   -  FW  Amadeo Ortega                      ##    -, River Plate 
   -  FW  Bernabé Rivera                     ##    -, Sportivo Luqueño 
   -  FW  Gerardo Romero                     ##    -, Libertad 
   -  FW  Luis Vargas Peña                   ##    -, Olimpia 
   -  FW  Jacinto Villalba                   ##    -, Cerro Porteño 


== Romania (ROU)   # 15 players

   -  GK  Samuel Zauber                      ##    0, Maccabi Bucureşti 
   -  GK  Ion Lǎpuşneanu                     ##    3, Sportul Studenţesc 

   -  DF  Iosif Czako                        ##    1, UDR Reşiţa 
   -  DF  Rudolf Bürger                      ##    4,  Chinezul Timişoara 
   -  DF  Adalbert Steiner                   ##    9, Chinezul Timişoara 

   -  MF  Alfred Eisenbeisser                ##    0, Dragoş Vodă Cernăuţi 
   -  MF  Emerich Vogl                       ##   10, Juventus Bucureşti 
   -  MF  Corneliu Robe                      ##    0, Olympia Bucureşti 
   -  MF  Ladislau Raffinsky                 ##    4, Juventus Bucuresti 

   -  FW  Constantin Stanciu                 ##    4, Venus Bucureşti 
   -  FW  Miklós Kovács                      ##    3, Banatul Timişoara 
   -  FW  Ilie Subăşeanu                     ##    2, Olympia Bucureşti 
   -  FW  Adalbert Deşu                      ##    4, UDR Reşiţa 
   -  FW  Rudolf Wetzer                      ##   12, Juventus Bucureşti 
   -  FW  Ştefan Barbu                       ##    4, Gloria Arad 


== United States (USA)   # 16 players

   -  GK  Jimmy Douglas                      ##    5, New York Nationals 

   -  DF  Alexander Wood                     ##    0, Detroit Holley Carburetor 
   -  DF  George Moorhouse                   ##    1, New York Giants 
