= World Cup 1978    # 16 Teams

== Argentina (ARG)   # 22 players

(13)  MF  Jean Petit                         ##    3, AS Monaco 
(15)  MF  Michel Platini                     ##   15, Nancy 
(18)  MF  Dominique Rocheteau                ##   10, Saint-Étienne 
(19)  MF  Didier Six                         ##   15, Lens 

(14)  FW  Marc Berdoll                       ##   10, Marseille 
(16)  FW  Christian Dalger                   ##    5, AS Monaco 
(17)  FW  Bernard Lacombe                    ##   14, Lyon 
(20)  FW  Olivier Rouyer                     ##    9, Nancy 


== West Germany (FRG)   # 22 players

 (1)  GK  Sepp Maier                         ##    -, Bayern Munich 
(21)  GK  Rudolf Kargus                      ##    -, Hamburger SV 
(22)  GK  Dieter Burdenski                   ##    -, Werder Bremen 

 (2)  DF  Berti Vogts                        ##    -, Borussia Mönchengladbach 
 (3)  DF  Bernard Dietz                      ##    -, MSV Duisburg 
 (5)  DF  Manfred Kaltz                      ##    -, Hamburger SV 
(12)  DF  Hans-Georg Schwarzenbeck           ##    -, Bayern Munich 
(13)  DF  Harald Konopka                     ##    -, FC Köln 

 (4)  MF  Rolf Rüssmann                      ##    -, Schalke 04 
 (6)  MF  Rainer Bonhof                      ##    -, Borussia Mönchengladbach 
(10)  MF  Heinz Flohe                        ##    -, FC Köln 
(15)  MF  Erich Beer                         ##    -, Hertha Berlin 
(16)  MF  Bernhard Cullmann                  ##    -, FC Köln 
(18)  MF  Gerd Zewe                          ##    -, Fortuna Düsseldorf 
(20)  MF  Hansi Müller                       ##    -, VfB Stuttgart 

 (7)  FW  Rüdiger Abramczik                  ##    -, Schalke 04 
 (8)  FW  Herbert Zimmermann                 ##    -, FC Köln 
 (9)  FW  Klaus Fischer                      ##    -, Schalke 04 
(11)  FW  Karl-Heinz Rummenigge              ##    -, Bayern Munich 
(14)  FW  Dieter Müller                      ##    -, FC Köln 
(17)  FW  Bernd Hölzenbein                   ##    -, Eintracht Frankfurt 
(19)  FW  Ronald Worm                        ##    -, MSV Duisburg 


== Hungary (HUN)   # 22 players

 (1)  GK  Sándor Gujdár                      ##   19, Budapest Honvéd FC 
(21)  GK  Ferenc Mészáros                    ##   13, Vasas SC 
(22)  GK  László Kovács                      ##   12, Videoton FCF 

 (2)  DF  Péter Török                        ##   29, Vasas SC 
 (3)  DF  István Kocsis                      ##    6, Budapest Honvéd FC 
 (6)  DF  Zoltán Kereki                      ##   24, Haladás VSE 
(12)  DF  Győző Martos                       ##   11, Ferencvárosi TC 
(14)  DF  László Bálint                      ##   54, Ferencvárosi TC 
(15)  DF  Tibor Rab                          ##   11, Ferencvárosi TC 

 (4)  MF  József Tóth                        ##   25, Újpesti Dózsa FC 
 (5)  MF  Sándor Zombori                     ##   16, Vasas SC 
(10)  MF  Sándor Pintér                      ##   32, Budapest Honvéd FC 
(13)  MF  Károly Csapó                       ##    5, Tatabányai BSK 
(16)  MF  István Halász                      ##    3, Tatabányai BSK 
(18)  MF  László Nagy                        ##   21, Újpesti Dózsa FC 
(20)  MF  Ferenc Fülöp                       ##    0, MTK FC 

 (7)  FW  László Fazekas                     ##   71, Újpesti Dózsa FC 
 (8)  FW  Tibor Nyilasi                      ##   26, Ferencvárosi TC 
 (9)  FW  András Törőcsik                    ##   11, Újpesti Dózsa FC 
(11)  FW  Béla Várady                        ##   28, Vasas SC 
(17)  FW  László Pusztai                     ##   22, Ferencvárosi TC 
(19)  FW  András Tóth                        ##   14, Újpesti Dózsa FC 


== Iran (IRN)   # 22 players

 (1)  GK  Nasser Hejazi                      ##    -, Shahbaz 
(12)  GK  Bahram Mavaddat                    ##    -, Sepahan 
(22)  GK  Rasoul Korbekandi                  ##    -, Zob Ahan 

 (5)  DF  Javad Allahverdi                   ##    -, Persepolis 
(11)  DF  Ali Reza Ghesghayan                ##    -, Bargh Shiraz 
(14)  DF  Hassan Nazari                      ##    -, Taj 
(15)  DF  Andranik Eskandarian               ##    -, Taj 
(20)  DF  Nasrollah Abdollahi                ##    -, Shahbaz 
(21)  DF  Hossein Kazerani                   ##    -, Pas 

 (2)  MF  Iraj Danaeifard                    ##    -, Taj 
 (6)  MF  Hassan Nayebagha                   ##    -, Homa 
 (7)  MF  Ali Parvin                         ##    -, Persepolis 
 (8)  MF  Ebrahim Ghasempour                 ##    -, Shahbaz 
 (9)  MF  Mohammad Sadeghi                   ##    -, Pas 
(19)  MF  Ali Shojaei                        ##    -, Sepahan 

 (3)  FW  Behtash Fariba                     ##    -, Pas 
 (4)  FW  Majid Bishkar                      ##    -, Shahbaz 
(10)  FW  Hassan Roshan                      ##    -, Taj 
(13)  FW  Hamid Majd Teymouri                ##    -, Shahbaz 
(16)  FW  Nasser Nouraei                     ##    -, Homa 
(17)  FW  Ghafour Jahani                     ##    -, Malavan 
(18)  FW  Hossein Faraki                     ##    -, Pas 


== Italy (ITA)   # 22 players

 (1)  GK  Dino Zoff                          ##    -, Juventus 
(12)  GK  Paolo Conti                        ##    -, Roma 
(22)  GK  Ivano Bordon                       ##    -, Internazionale 

 (2)  DF  Mauro Bellugi                      ##    -, Bologna 
 (3)  DF  Antonio Cabrini                    ##    -, Juventus 
 (4)  DF  Antonello Cuccureddu               ##    -, Juventus 
 (5)  DF  Claudio Gentile                    ##    -, Juventus 
 (6)  DF  Aldo Maldera                       ##    -, Milan 
 (7)  DF  Lionello Manfredonia               ##    -, Lazio 
 (8)  DF  Gaetano Scirea                     ##    -, Juventus 

 (9)  MF  Giancarlo Antognoni                ##    -, Fiorentina 
(10)  MF  Romeo Benetti                      ##    -, Juventus 
(11)  MF  Eraldo Pecci                       ##    -, Torino 
(13)  MF  Patrizio Sala                      ##    -, Torino 
(14)  MF  Marco Tardelli                     ##    -, Juventus 
(15)  MF  Renato Zaccarelli                  ##    -, Torino 
(16)  MF  Franco Causio                      ##    -, Juventus 
(17)  MF  Claudio Sala                       ##    -, Torino 

(18)  FW  Roberto Bettega                    ##    -, Juventus 
(19)  FW  Francesco Graziani                 ##    -, Torino 
(20)  FW  Paolo Pulici                       ##    -, Torino 
(21)  FW  Paolo Rossi                        ##    -, Vicenza 


== Mexico (MEX)   # 22 players

 (1)  GK  José Pilar Reyes                   ##    -, UANL Tigres 
(22)  GK  Pedro Soto                         ##    -, Club América 

 (2)  DF  Manuel Nájera                      ##    -, Leones Negros 
 (3)  DF  Alfredo Tena                       ##    -, Club América 
 (4)  DF  Eduardo Ramos                      ##    -, CD Guadalajara 
 (5)  DF  Arturo Vázquez Ayala               ##    -, Club UNAM 
(12)  DF  Jesús Martínez                     ##    -, Club América 
(13)  DF  Rigoberto Cisneros                 ##    -, CD Toluca 
(14)  DF  Carlos Gómez                       ##    -, CSD León 
(15)  DF  Ignacio Flores Ocaranza            ##    -, Cruz Azul 

 (6)  MF  Guillermo Mendizábal               ##    -, Cruz Azul 
 (7)  MF  Antonio de la Torre                ##    -, Club América 
(10)  MF  Cristóbal Ortega                   ##    -, Club América 
(16)  MF  Javier Cárdenas                    ##    -, CD Toluca 
(17)  MF  Leonardo Cuéllar                   ##    -, Club UNAM 
(18)  MF  Gerardo Lugo                       ##    -, Atlante F.C. 

 (8)  FW  Enrique López Zarza                ##    -, Club UNAM 
 (9)  FW  Víctor Rangel                      ##    -, CD Guadalajara 
(11)  FW  Hugo Sánchez                       ##    -, Club UNAM 
(19)  FW  Hugo René Rodríguez                ##    -, Santos Laguna 
(20)  FW  Mario Medina                       ##    -, CD Toluca 
(21)  FW  Raúl Isiordia                      ##    -, Atlético Español 


== Netherlands (NED)   # 22 players

 (1)  GK  Piet Schrijvers                    ##   16, Ajax 
 (8)  GK  Jan Jongbloed                      ##   19, Roda JC 
(19)  GK  Pim Doesburg                       ##    2, Sparta Rotterdam 

 (2)  DF  Jan Poortvliet                     ##    1, PSV Eindhoven 
 (4)  DF  Adrie van Kraay                    ##   13, PSV Eindhoven 
 (5)  DF  Ruud Krol                          ##   52, Ajax 
 (7)  DF  Piet Wildschut                     ##    1, Twente 
(15)  DF  Hugo Hovenkamp                     ##    7, AZ 
(17)  DF  Wim Rijsbergen                     ##   25, Feyenoord 
(20)  DF  Wim Suurbier                       ##   56, Schalke 04 
(22)  DF  Ernie Brandts                      ##    1, PSV Eindhoven 

 (3)  MF  Dick Schoenaker                    ##    0, Ajax 
 (6)  MF  Wim Jansen                         ##   50, Feyenoord 
 (9)  MF  Arie Haan                          ##   24, Anderlecht 
(10)  MF  René van de Kerkhof                ##   20, PSV Eindhoven 
(11)  MF  Willy van de Kerkhof               ##   18, PSV Eindhoven 
(13)  MF  Johan Neeskens                     ##   38, Barcelona 
(14)  MF  Johan Boskamp                      ##    1, Molenbeek 

(12)  FW  Rob Rensenbrink                    ##   34, Anderlecht 
(16)  FW  Johnny Rep                         ##   23, SEC Bastia 
(18)  FW  Dick Nanninga                      ##    1, Roda JC 
(21)  FW  Harry Lubse                        ##    1, PSV Eindhoven 


== Peru (PER)   # 22 players

 (1)  GK  Ottorino Sartor                    ##    -, Colegio Nacional de Iquitos 
(13)  GK  Juan Cáceres                       ##    -, Alianza Lima 
(21)  GK  Ramón Quiroga                      ##    -, Sporting Cristal 

 (2)  DF  Jaime Duarte                       ##    -, Alianza Lima 
 (3)  DF  Rodolfo Manzo                      ##    -, Deportivo Municipal 
 (4)  DF  Héctor Chumpitaz                   ##    -, Sporting Cristal 
 (5)  DF  Rubén Toribio Díaz                 ##    -, Sporting Cristal 
(14)  DF  José Navarro                       ##    -, Sporting Cristal 
(22)  DF  Roberto Rojas                      ##    -, Alianza Lima 

 (6)  MF  José Velásquez                     ##    -, Alianza Lima 
 (8)  MF  César Cueto                        ##    -, Alianza Lima 
 (9)  MF  Percy Rojas                        ##    -, Sporting Cristal 
(10)  MF  Teófilo Cubillas                   ##    -, Alianza Lima 
