= World Cup 1982    # 24 Teams

== Argentina (ARG)   # 22 players

 (8)  MF  Carlos Rivas                       ##   24, Colo-Colo 
(10)  MF  Mario Soto                         ##   34, Cobreloa 
(11)  MF  Gustavo Moscoso                    ##   18, Universidad Católica 
(14)  MF  Raúl Ormeño                        ##    1, Colo-Colo 
(16)  MF  Manuel Rojas                       ##   27, Universidad Católica 
(20)  MF  Miguel Ángel Neira                 ##   23, Universidad Católica 

 (9)  FW  Juan Carlos Letelier               ##    5, Cobreloa 
(13)  FW  Carlos Caszely                     ##   42, Colo-Colo 
(15)  FW  Patricio Yáñez                     ##   23, San Luis 
(21)  FW  Miguel Ángel Gamboa                ##   14, Universidad de Chile 


== Cameroon (CMR)   # 22 players

 (1)  GK  Thomas N'Kono                      ##    -, Canon Yaoundé 
(12)  GK  Joseph-Antoine Bell                ##    -, Africa Sports 
(22)  GK  Simon Tchobang                     ##    -,  

 (2)  DF  Michel Kaham                       ##    -, Stade Quimperois 
 (3)  DF  Edmond Enoka                       ##    -,  
 (4)  DF  René N'Djeya                       ##    -, Union Douala 
 (5)  DF  Elie Onana                         ##    -,  
(15)  DF  François N'Doumbé                  ##    -, Union Douala 
(16)  DF  Ibrahim Aoudou                     ##    -, Cannes 

 (6)  MF  Emmanuel Kundé                     ##    -, Canon Yaoundé 
 (7)  MF  Ephrem M'Bom                       ##    -, Canon Yaoundé 
 (8)  MF  Grégoire M'Bida                    ##    -, Canon Yaoundé 
(11)  MF  Charles Toubé                      ##    -, Tonnerre Yaoundé 
(14)  MF  Théophile Abega                    ##    -, Canon Yaoundé 
(17)  MF  Joseph Kamga                       ##    -, Union Douala 
(19)  MF  Joseph Enanga                      ##    -, Union Douala 

 (9)  FW  Roger Milla                        ##    -, Bastia 
(10)  FW  Jean-Pierre Tokoto                 ##    -, Jacksonville Tea Men (USA)
(13)  FW  Paul Bahoken                       ##    -, Cannes 
(18)  FW  Jacques N'Guea                     ##    -, Canon Yaoundé 
(20)  FW  Oscar Eyobo                        ##    -,  
(21)  FW  Ernest Ebongué                     ##    -, Tonnerre Yaoundé 


== Algeria (ALG)   # 22 players

 (1)  GK  Mehdi Cerbah                       ##    -, RS Kouba 
(21)  GK  Mourad Amara                       ##    -, JE Tizi-Ouzou 
(22)  GK  Yacine Bentalaa                    ##    -, MA Hussein Dey 

 (2)  DF  Mahmoud Guendouz                   ##    -, MA Hussein Dey 
 (3)  DF  Mustafa Kouici                     ##    -, MA Hussein Dey 
 (4)  DF  Nourredine Kourichi                ##    -, Girondins Bordeaux 
 (5)  DF  Chaabane Merzekane                 ##    -, MA Hussein Dey 
(12)  DF  Salah Larbes                       ##    -, JE Tizi-Ouzou 
(16)  DF  Faouzi Mansouri                    ##    -, Montpellier SC 
(17)  DF  Abdelkader Horr                    ##    -, DNC Alger 

 (6)  MF  Ali Bencheikh                      ##    -, MP Alger 
 (8)  MF  Ali Fergani                        ##    -, JE Tizi-Ouzou 
(10)  MF  Lakhdar Belloumi                   ##    -, GCR Mascara 
(13)  MF  Hocine Yahi                        ##    -, CM Belcourt 
(14)  MF  Djamel Zidane                      ##    -, KV Kortrijk 
(15)  MF  Mustapha Dahleb                    ##    -, Paris St-Germain 
(18)  MF  Karim Maroc                        ##    -, Tours FC 
(19)  MF  Djamel Tlemçani                    ##    -, Stade de Reims 

 (7)  FW  Salah Assad                        ##    -, RS Kouba 
 (9)  FW  Tedj Bensaoula                     ##    -, MP Oran 
(11)  FW  Rabah Madjer                       ##    -, MA Hussein Dey 
(20)  FW  Abdelmajid Bourebbou               ##    -, Stade Lavallois 


== England (ENG)   # 22 players

 (1)  GK  Ray Clemence                       ##   59, Tottenham Hotspur 
(13)  GK  Joe Corrigan                       ##    9, Manchester City 
(22)  GK  Peter Shilton                      ##   37, Nottingham Forest 

 (2)  DF  Viv Anderson                       ##   10, Nottingham Forest 
 (4)  DF  Terry Butcher                      ##    4, Ipswich Town 
 (6)  DF  Steve Foster                       ##    2, Brighton and Hove Albion 
(12)  DF  Mick Mills                         ##   37, Ipswich Town 
(14)  DF  Phil Neal                          ##   37, Liverpool 
(17)  DF  Kenny Sansom                       ##   23, Arsenal 
(18)  DF  Phil Thompson                      ##   35, Liverpool 

 (3)  MF  Trevor Brooking                    ##   46, West Ham United 
 (5)  MF  Steve Coppell                      ##   36, Manchester United 
 (9)  MF  Glenn Hoddle                       ##   11, Tottenham Hotspur 
(10)  MF  Terry McDermott                    ##   25, Liverpool 
(15)  MF  Graham Rix                         ##    8, Arsenal 
(16)  MF  Bryan Robson                       ##   19, Manchester United 
(19)  MF  Ray Wilkins                        ##   47, Manchester United 

 (7)  FW  Kevin Keegan                       ##   62, Southampton 
 (8)  FW  Trevor Francis                     ##   27, Manchester City 
(11)  FW  Paul Mariner                       ##   21, Ipswich Town 
(20)  FW  Peter Withe                        ##    6, Aston Villa 
(21)  FW  Tony Woodcock                      ##   22, FC Köln 


== Spain (ESP)   # 22 players

 (1)  GK  Luis Arconada                      ##    -, Real Sociedad 
(21)  GK  Urruti                             ##    -, FC Barcelona 
(22)  GK  Miguel Ángel                       ##    -, Real Madrid 

 (2)  DF  José Antonio Camacho               ##    -, Real Madrid 
 (3)  DF  Rafael Gordillo                    ##    -, Real Betis 
 (5)  DF  Miguel Tendillo                    ##    -, Valencia 
 (6)  DF  José Ramón Alexanko                ##    -, FC Barcelona 
(12)  DF  Santiago Urquiaga                  ##    -, Athletic Bilbao 
(13)  DF  Manuel Jiménez                     ##    -, Sporting de Gijón 
(14)  DF  Antonio Maceda                     ##    -, Sporting de Gijón 

 (4)  MF  Miguel Ángel Alonso                ##    -, Real Sociedad 
 (8)  MF  Joaquín                            ##    -, Sporting de Gijón 
(10)  MF  Jesús María Zamora                 ##    -, Real Sociedad 
(15)  MF  Enrique Saura                      ##    -, Valencia CF 
(16)  MF  José Vicente Sánchez               ##    -, FC Barcelona 
(17)  MF  Ricardo Gallego                    ##    -, Real Madrid 

 (7)  FW  Juanito                            ##    -, Real Madrid 
 (9)  FW  Jesús María Satrústegui            ##    -, Real Sociedad 
