= World Cup 1962    # 16 Teams

== Argentina (ARG)   # 22 players

 (6)  MF  Eladio Rojas                       ##   11, Everton 
 (8)  MF  Jorge Toro                         ##   15, Colo-Colo 
(17)  MF  Mario Ortiz                        ##   12, Colo-Colo 

 (7)  FW  Jaime Ramírez                      ##   39, Universidad de Chile 
 (9)  FW  Honorino Landa                     ##    4, Unión Española 
(10)  FW  Alberto Fouilloux                  ##   15, Universidad Católica 
(11)  FW  Leonel Sánchez                     ##   45, Universidad de Chile 
(18)  FW  Mario Moreno                       ##   24, Colo-Colo 
(19)  FW  Braulio Musso                      ##   14, Universidad de Chile 
(20)  FW  Carlos Campos                      ##    2, Universidad de Chile 
(21)  FW  Armando Tobar                      ##   17, Universidad Católica 


== Colombia (COL)   # 22 players

 (1)  GK  Efraín Sánchez                     ##   27, Independiente Medellín 
 (2)  GK  Achito Vivas                       ##    0, Deportivo Pereira 

 (3)  DF  Francisco Zuluaga                  ##    9, Independiente Santa Fe 
 (4)  DF  Aníbal Alzate                      ##    4, Deportes Tolima 
 (5)  DF  Jaime González                     ##    2, América de Cali 
 (6)  DF  Ignacio Calle                      ##    8, Atlético Nacional 
 (7)  DF  Carlos Aponte                      ##    1, Independiente Santa Fe 
 (8)  DF  Héctor Echeverry                   ##    5, Independiente Medellín 
(11)  DF  Óscar López                        ##    4, Once Caldas 

 (9)  MF  Jaime Silva                        ##   12, Independiente Santa Fe 
(10)  MF  Rolando Serrano                    ##    5, América de Cali 
(12)  MF  Hernando Tovar                     ##    0, Independiente Santa Fe 
(15)  MF  Marcos Coll                        ##    4, América de Cali 

(13)  FW  Germán Aceros                      ##    6, Deportivo Cali 
(14)  FW  Luis Paz                           ##    0, América de Cali 
(16)  FW  Ignacio Pérez                      ##    4, Once Caldas 
(17)  FW  Marino Klinger                     ##    3, Millonarios 
(18)  FW  Eusebio Escobar                    ##    2, Deportivo Pereira 
(19)  FW  Delio Gamboa                       ##    9, Millonarios 
(20)  FW  Antonio Rada                       ##    2, Deportivo Pereira 
(21)  FW  Héctor González                    ##    3, Independiente Santa Fe 
(22)  FW  Jairo Arias                        ##    4, Atlético Nacional 


== England (ENG)   # 22 players

 (1)  GK  Ron Springett                      ##   21, Sheffield Wednesday F.C. 
(12)  GK  Alan Hodgkinson                    ##    5, Sheffield United F.C. 

 (2)  DF  Jimmy Armfield                     ##   25, Blackpool F.C. 
 (3)  DF  Ray Wilson                         ##   11, Huddersfield Town F.C. 
(15)  DF  Maurice Norman                     ##    1, Tottenham Hotspur F.C. 
(16)  DF  Bobby Moore                        ##    1, West Ham United F.C. 
(21)  DF  Don Howe                           ##   23, West Bromwich Albion F.C. 

 (5)  MF  Peter Swan                         ##   19, Sheffield Wednesday F.C. 
 (6)  MF  Ron Flowers                        ##   32, Wolverhampton Wanderers F.C. 
 (7)  MF  John Connelly                      ##    8, Burnley F.C. 
(14)  MF  Stan Anderson                      ##    2, Sunderland F.C. 
(17)  MF  Bryan Douglas                      ##   29, Blackburn Rovers F.C. 
(20)  MF  George Eastham                     ##    0, Arsenal F.C. 
(22)  MF  Jimmy Adamson                      ##    0, Burnley F.C. 

 (4)  FW  Bobby Robson                       ##   20, West Bromwich Albion F.C. 
 (8)  FW  Jimmy Greaves                      ##   18, Tottenham Hotspur F.C. 
 (9)  FW  Gerry Hitchens                     ##    5, Internazionale Milano F.C. 
(10)  FW  Johnny Haynes                      ##   52, Fulham F.C. 
(11)  FW  Bobby Charlton                     ##   35, Manchester United F.C. 
(13)  FW  Derek Kevan                        ##   14, West Bromwich Albion F.C. 
(18)  FW  Roger Hunt                         ##    1, Liverpool F.C. 
(19)  FW  Alan Peacock                       ##    0, Middlesbrough F.C. 


== Spain (ESP)   # 22 players

 (1)  GK  José Araquistáin                   ##    5, Real Madrid 
 (2)  GK  Salvador Sadurní                   ##    0, CF Barcelona 
 (3)  GK  Carmelo                            ##   10, Atlético de Bilbao 

 (7)  DF  Luis María Echeberría              ##    0, Atlético de Bilbao 
(10)  DF  Sígfrid Gràcia                     ##    8, CF Barcelona 
(11)  DF  Feliciano Rivilla                  ##    9, Atlético Madrid 
(13)  DF  Pachín                             ##    4, Real Madrid 
(16)  DF  Severino Reija                     ##    0, Real Zaragoza 
(17)  DF  Rodri                              ##    0, CF Barcelona 
(19)  DF  José Santamaría                    ##   14, Real Madrid 
(20)  DF  Joan Segarra                       ##   24, CF Barcelona 

 (5)  MF  Luis del Sol                       ##   10, Real Madrid 
 (8)  MF  Jesús Garay                        ##   28, CF Barcelona 
(22)  MF  Martí Vergés                       ##   10, CF Barcelona 

 (4)  FW  Enrique Collar                     ##   10, Atlético Madrid 
 (6)  FW  Alfredo Di Stéfano                 ##   31, Real Madrid 
 (9)  FW  Francisco Gento                    ##   26, Real Madrid 
(12)  FW  Joaquín Peiró                      ##    7, Atlético Madrid 
(14)  FW  Ferenc Puskás                      ##    1, Real Madrid 
(15)  FW  Eulogio Martínez                   ##    7, CF Barcelona 
(18)  FW  Adelardo                           ##    0, Atlético Madrid 
(21)  FW  Luis Suárez                        ##   22, Internazionale Milano F.C. 


== West Germany (FRG)   # 22 players

 (1)  GK  Hans Tilkowski                     ##   18, Westfalia Herne 
(21)  GK  Günter Sawitzki                    ##    9, VfB Stuttgart 
(22)  GK  Wolfgang Fahrian                   ##    1, TSG Ulm 1846 

 (2)  DF  Herbert Erhardt                    ##   45, Greuther Fürth 
 (3)  DF  Karl-Heinz Schnellinger            ##   19, 1. FC Köln 
 (4)  DF  Willi Schulz                       ##    8, FC Schalke 04 
 (5)  DF  Leo Wilden                         ##    6, 1. FC Köln 
(12)  DF  Hans Nowak                         ##    3, FC Schalke 04 
(13)  DF  Jürgen Kurbjuhn                    ##    1, Hamburger SV 
(14)  DF  Jürgen Werner                      ##    2, Hamburger SV 

 (6)  MF  Horst Szymaniak                    ##   33, Calcio Catania 
 (7)  MF  Willi Koslowski                    ##    1, FC Schalke 04 
(10)  MF  Albert Brülls                      ##   18, Borussia Mönchengladbach 
(15)  MF  Willi Giesemann                    ##    9, Bayern Munich 
(16)  MF  Hans Sturm                         ##    2, 1. FC Köln 
(18)  MF  Günther Herrmann                   ##    7, Karlsruher SC 

 (8)  FW  Helmut Haller                      ##   16, BC Augsburg 
 (9)  FW  Uwe Seeler                         ##   30, Hamburger SV 
(11)  FW  Hans Schäfer                       ##   35, 1. FC Köln 
(17)  FW  Engelbert Kraus                    ##    5, Kickers Offenbach 
(19)  FW  Heinz Strehl                       ##    0, 1. FC Nuremberg 
(20)  FW  Heinz Vollmar                      ##   12, 1. FC Saarbrücken 


== Hungary (HUN)   # 22 players

 (1)  GK  Gyula Grosics                      ##   81, Tatabányai Bányász 
(21)  GK  Antal Szentmihályi                 ##    1, Vasas SC 
(22)  GK  István Ilku                        ##    6, Dorogi AC 

 (2)  DF  Sándor Mátrai                      ##   41, Ferencvárosi TC 
 (3)  DF  Kálmán Mészöly                     ##    4, Vasas SC 
 (4)  DF  László Sárosi                      ##   25, Vasas SC 
 (5)  DF  Ernő Solymosi                      ##   16, Újpesti Dózsa SC 
(12)  DF  Kálmán Sóvári                      ##    7, Újpesti Dózsa SC 
(13)  DF  Kálmán Ihász                       ##    0, Vasas SC 

 (6)  MF  Ferenc Sipos                       ##   44, MTK 
(10)  MF  Lajos Tichy                        ##   53, Budapest Honvéd FC 
(14)  MF  István Nagy                        ##    1, MTK 
(15)  MF  János Mencel                       ##    0, Salgótarjáni BTC 

 (7)  FW  Károly Sándor                      ##   58, MTK 
 (8)  FW  János Göröcs                       ##   32, Újpesti Dozsa SC 
 (9)  FW  Flórián Albert                     ##   23, Ferencvárosi TC 
(11)  FW  Máté Fenyvesi                      ##   42, Ferencvárosi TC 
(16)  FW  János Farkas                       ##    4, Vasas SC 
(17)  FW  Gyula Rákosi                       ##    3, Ferencvárosi TC 
(18)  FW  Tivadar Monostori                  ##    5, Dorogi AC 
(19)  FW  Béla Kuharszki                     ##    5, Újpesti Dózsa SC 
(20)  FW  László Bödör                       ##    1, MTK 


== Italy (ITA)   # 22 players

 (1)  GK  Lorenzo Buffon                     ##   13, Internazionale 
(12)  GK  Carlo Mattrel                      ##    1, Palermo 
(13)  GK  Enrico Albertosi                   ##    1, Fiorentina 

 (2)  DF  Giacomo Losi                       ##    9, Roma 
 (4)  DF  Sandro Salvadore                   ##    5, Milan 
 (5)  DF  Cesare Maldini                     ##    6, Milan 
(16)  DF  Enzo Robotti                       ##    6, Fiorentina 
(18)  DF  Mario David                        ##    2, Milan 
(19)  DF  Francesco Janich                   ##    0, Bologna 

 (3)  MF  Luigi Radice                       ##    2, Milan 
 (6)  MF  Giovanni Trapattoni                ##    7, Milan 
(20)  MF  Paride Tumburus                    ##    0, Bologna 
(21)  MF  Giorgio Ferrini                    ##    1, Torino 

 (7)  FW  Bruno Mora                         ##    9, Juventus 
 (8)  FW  Humberto Maschio                   ##    1, Atalanta 
 (9)  FW  José Altafini                      ##    4, Milan 
(10)  FW  Omar Sívori                        ##    7, Juventus 
(11)  FW  Giampaolo Menichelli               ##    2, Roma 
(14)  FW  Gianni Rivera                      ##    1, Milan 
(15)  FW  Angelo Sormani                     ##    0, Mantova 
(17)  FW  Ezio Pascutti                      ##    1, Bologna 
(22)  FW  Giacomo Bulgarelli                 ##    0, Bologna 


== Mexico (MEX)   # 22 players

 (1)  GK  Antonio Carbajal                   ##    -, Club León 
(12)  GK  Jaime Gómez                        ##    -, CD Guadalajara 
(22)  GK  Antonio Mota                       ##    -, CD Oro 

 (2)  DF  Jesús del Muro                     ##    -, CF Atlas 
 (3)  DF  Guillermo Sepúlveda                ##    -, CD Guadalajara 
 (4)  DF  José Villegas                      ##    -, CD Guadalajara 
 (5)  DF  Raúl Cárdenas                      ##    -, CD Zacatepec 
(13)  DF  Arturo Chaires                     ##    -, CD Guadalajara 
(15)  DF  Ignacio Jáuregui                   ##    -, CF Atlas 

 (6)  MF  Pedro Nájera                       ##    -, Club América 
 (8)  MF  Salvador Reyes                     ##    -, CD Guadalajara 
(14)  MF  Pedro Romero                       ##    -, Club Toluca 
(16)  MF  Salvador Farfán                    ##    -, Atlante 
(20)  MF  Mario Velarde                      ##    -, Necaxa 

 (7)  FW  Alfredo del Águila                 ##    -, Club Toluca 
 (9)  FW  Héctor Hernández                   ##    -, CD Guadalajara 
(10)  FW  Guillermo Ortiz Camargo            ##    -, Necaxa 
(11)  FW  Isidoro Díaz                       ##    -, CD Guadalajara 
(17)  FW  Felipe Ruvalcaba                   ##    -, CD Oro 
(18)  FW  Alfredo Hernández                  ##    -, CF Monterrey 
(19)  FW  Antonio Jasso                      ##    -, Club América 
(21)  FW  Alberto Baeza                      ##    -, Necaxa 


== Czechoslovakia (TCH)   # 22 players

 (1)  GK  Viliam Schrojf                     ##   22, ŠK Slovan Bratislava 
(13)  GK  František Schmucker                ##    1, RH Brno 
(22)  GK  Pavel Kouba                        ##    0, Dukla Prague 

 (2)  DF  Jan Lála                           ##    1, Dynamo Praha 
 (3)  DF  Ján Popluhár                       ##   27, ŠK Slovan Bratislava 
 (4)  DF  Ladislav Novák                     ##   59, Dukla Prague 
 (5)  DF  Svatopluk Pluskal                  ##   38, Dukla Prague 
(12)  DF  Jiří Tichý                         ##   13, TJ Slovnaft Bratislava 
(16)  DF  Titus Buberník                     ##   17, TJ Slovnaft Bratislava 
(21)  DF  Jozef Bomba                        ##    6, Tatran Prešov 

