= World Cup 1974    # 16 Teams

== Argentina (ARG)   # 22 players

(15)  DF  Mario Galindo                      ##    6, Colo Colo 

 (8)  MF  Francisco Valdés                   ##   44, Colo Colo 
(10)  MF  Carlos Reinoso                     ##   25, América 
(14)  MF  Alfonso Lara                       ##   27, Colo Colo 
(16)  MF  Guillermo Páez                     ##   11, Colo Colo 
(18)  MF  Jorge Socías                       ##    2, Universidad de Chile 
(19)  MF  Rogelio Farías                     ##   10, Unión Española 

 (7)  FW  Carlos Caszely                     ##   20, Levante 
 (9)  FW  Sergio Ahumada                     ##   12, Colo Colo 
(11)  FW  Leonardo Véliz                     ##   18, Colo Colo 
(17)  FW  Guillermo Yávar                    ##   24, Universidad de Chile 
(20)  FW  Osvaldo Castro                     ##   24, América 


== West Germany (FRG)   # 22 players

 (1)  GK  Sepp Maier                         ##   50, Bayern Munich 
(21)  GK  Norbert Nigbur                     ##    2, Schalke 
(22)  GK  Wolfgang Kleff                     ##    6, Borussia M'gladbach 

 (2)  DF  Berti Vogts                        ##   24, Borussia M'gladbach 
 (3)  DF  Paul Breitner                      ##   19, Bayern Munich 
 (4)  DF  Hans-Georg Schwarzenbeck           ##   23, Bayern Munich 
 (5)  DF  Franz Beckenbauer                  ##   78, Bayern Munich 
 (6)  DF  Horst-Dieter Höttges               ##   65, Werder Bremen 
(20)  DF  Helmut Kremers                     ##    5, Schalke 

 (7)  MF  Herbert Wimmer                     ##   23, Borussia M'gladbach 
 (8)  MF  Bernhard Cullmann                  ##   12, FC Köln 
(10)  MF  Günter Netzer                      ##   34, Real Madrid 
(12)  MF  Wolfgang Overath                   ##   74, FC Köln 
(15)  MF  Heinz Flohe                        ##   14, FC Köln 
(16)  MF  Rainer Bonhof                      ##    4, Borussia M'gladbach 
(19)  MF  Jupp Kapellmann                    ##    3, Bayern Munich 

 (9)  FW  Jürgen Grabowski                   ##   38, Eintracht Frankfurt 
(11)  FW  Jupp Heynckes                      ##   28, Borussia M'gladbach 
(13)  FW  Gerd Müller                        ##   55, Bayern Munich 
(14)  FW  Uli Hoeneß                         ##   23, Bayern Munich 
(17)  FW  Bernd Hölzenbein                   ##    4, Eintracht Frankfurt 
(18)  FW  Dieter Herzog                      ##    2, Fortuna Düsseldorf 


== East Germany (GDR)   # 22 players

 (1)  GK  Jürgen Croy                        ##   43, Sachsenring Zwickau 
(21)  GK  Wolfgang Blochwitz                 ##   17, Carl Zeiss Jena 
(22)  GK  Werner Friese                      ##    0, Lokomotiv Leipzig 

 (2)  DF  Lothar Kurbjuweit                  ##   30, Carl Zeiss Jena 
 (3)  DF  Bernd Bransch                      ##   52, Carl Zeiss Jena 
 (4)  DF  Konrad Weise                       ##   23, Carl Zeiss Jena 
 (5)  DF  Joachim Fritsche                   ##    7, Lokomotiv Leipzig 
(12)  DF  Siegmar Wätzlich                   ##    9, Dynamo Dresden 
(18)  DF  Gerd Kische                        ##   13, Hansa Rostock 

 (6)  MF  Rüdiger Schnuphase                 ##    4, Rot-Weiss Erfurt 
