= World Cup 1950    # 13 Teams

== Bolivia (BOL)   # 22 players

   -  FW  Jackie Milburn                     ##    7, Newcastle United 
   -  FW  Roy Bentley                        ##    4, Chelsea 
   -  FW  Tom Finney                         ##   25, Preston North End 
   -  FW  Wilf Mannion                       ##   19, Middlesbrough 
   -  FW  Stanley Matthews                   ##   30, Blackpool 


== Spain (ESP)   # 22 players

   -  GK  Juan Acuña                         ##    1, Deportivo de La Coruña 
   -  GK  Antoni Ramallets                   ##    0, CF Barcelona 
   -  GK  Ignacio Eizaguirre                 ##   14, Valencia CF 

   -  DF  Vicente Asensi                     ##    5, Valencia CF 
   -  DF  Alfonso Silva                      ##    3, Atlético Madrid 
   -  DF  Gabriel Alonso                     ##    4, Celta de Vigo 
   -  DF  Francisco Antúnez                  ##    2, CF Sevilla 
   -  DF  Josep Gonzalvo                     ##    3, CF Barcelona 
   -  DF  José Parra                         ##    1, RCD Espanyol 
   -  DF  Rafael Lesmes                      ##    0, Valladolid 

   -  MF  Nando                              ##    5, Atlético Bilbao 
   -  MF  Antonio Puchades                   ##    6, Valencia CF 
   -  MF  Marià Gonzalvo                     ##    8, CF Barcelona 

   -  FW  José Juncosa                       ##    1, Atlético Madrid 
   -  FW  Luis Molowny                       ##    2, Real Madrid 
   -  FW  Silvestre Igoa                     ##    5, Valencia CF 
   -  FW  José Luis Panizo                   ##    6, Atlético Bilbao 
   -  FW  Rosendo Hernández                  ##    2, RCD Espanyol 
   -  FW  Agustín Gaínza                     ##   14, Atlético Bilbao 
   -  FW  César                              ##    8, CF Barcelona 
   -  FW  Estanislao Basora                  ##    4, CF Barcelona 
   -  FW  Zarra                              ##   11, Atlético Bilbao 


== Italy (ITA)   # 22 players

   -  GK  Giuseppe Moro                      ##    2, Torino 
   -  GK  Giuseppe Casari                    ##    2, Atalanta 
   -  GK  Lucidio Sentimenti                 ##    7, Lazio 

   -  DF  Attilio Giovannini                 ##    4, Internazionale 
   -  DF  Carlo Annovazzi                    ##   10, Milan 
   -  DF  Zeffiro Furiassi                   ##    0, Lazio 
   -  DF  Ivano Blason                       ##    0, Triestina 
   -  DF  Osvaldo Fattori                    ##    3, Internazionale 

   -  MF  Leandro Remondini                  ##    0, Lazio 
   -  MF  Giacomo Mari                       ##    3, Juventus 
   -  MF  Carlo Parola                       ##    9, Juventus 
   -  MF  Augusto Magli                      ##    0, Fiorentina 
   -  MF  Omero Tognon                       ##    4, Milan 

   -  FW  Benito Lorenzi                     ##    5, Internazionale 
   -  FW  Riccardo Carapellese               ##   11, Torino 
   -  FW  Emilio Caprile                     ##    2, Atalanta 
   -  FW  Ermes Muccinelli                   ##    2, Juventus 
   -  FW  Egisto Pandolfini                  ##    0, Fiorentina 
   -  FW  Gino Cappello                      ##    3, Bologna 
   -  FW  Aldo Campatelli                    ##    6, Internazionale 
   -  FW  Giampiero Boniperti                ##    6, Juventus 
   -  FW  Amedeo Amadei                      ##    6, Internazionale 


== Mexico (MEX)   # 22 players

   -  GK  Antonio Carbajal                   ##    -, España FC 
   -  GK  Raúl Córdoba                       ##    -, San Sebastian Leon 

   -  DF  José Antonio Roca                  ##    -, Necaxa 
   -  DF  Felipe Zetter                      ##    -, Atlas 
   -  DF  Rodrígo Ruíz                       ##    -, Deportivo Guadalajara 
   -  DF  Alfonso Montemayor                 ##    -, FC Leon 
   -  DF  Gregorio Gómez                     ##    -, Deportivo Guadalajara 
   -  DF  Manuel Gutiérrez                   ##    -, Club América 

   -  MF  Carlos Guevara                     ##    -, Asturias F.C. 
   -  MF  Francisco Hernández                ##    -, Asturias F.C. 
   -  MF  Antonio Flores                     ##    -, Atlas 
   -  MF  Samuel Cuburu                      ##    -, FC Puebla 
   -  MF  Mario Pérez                        ##    -, CD Marte 
   -  MF  Mario Ochoa                        ##    -, Club América 
   -  MF  Héctor Ortiz                       ##    -, CD Marte 

   -  FW  José Naranjo                       ##    -, Oro Guadalajara 
   -  FW  Max Prieto                         ##    -, Deportivo Guadalajara 
   -  FW  Leonardo Navarro                   ##    -, FC Atlante 
   -  FW  Horacio Casarín                    ##    -, España FC 
   -  FW  Carlos Septién                     ##    -, España FC 
   -  FW  José Velázquez                     ##    -, FC Veracruz 
   -  FW  José Luis Borbolla                 ##    -, Club América 


== Paraguay (PAR)   # 22 players

   -  GK  Marcelino Vargas                   ##    -, Libertad 
   -  GK  Pablo Centurión                    ##    -, Cerro Porteño 

   -  DF  Manuel Gavilán                     ##    -, Libertad 
   -  DF  Elioro Paredes                     ##    -, Sportivo Luqueño 
   -  DF  Antonio Cabrera                    ##    -, Libertad 
   -  DF  Casiano Céspedes                   ##    -, Olimpia 
   -  DF  Alberto González                   ##    -, Olimpia 

   -  MF  Castor Cantero                     ##    -, Olimpia 
   -  MF  Victoriano Leguizamón              ##    -, Olimpia 
   -  MF  Armando González                   ##    -, Guaraní 
   -  MF  Melanio Baez                       ##    -, Nacional 

   -  FW  Atilio López                       ##    -, Nacional 
   -  FW  Lorenzo Calonga                    ##    -, Guaraní 
   -  FW  Juan Cañete                        ##    -, Presidente Hayes 
   -  FW  Ángel Berni                        ##    -, Sportivo Luqueño 
   -  FW  César López Fretes                 ##    -, Olimpia 
   -  FW  Hilarión Osorio                    ##    -, Sportivo Luqueño 
   -  FW  Marcial Avalos                     ##    -, Cerro Porteño 
   -  FW  Darío Saguier                      ##    -, Cerro Porteño 
   -  FW  Francisco Sosa                     ##    -, Cerro Porteño 
   -  FW  Leongino Unzaim                    ##    -, Olimpia 
   -  FW  Enrique Avalos                     ##    -, Cerro Porteño 


== Sweden (SWE)   # 22 players

   -  GK  Kalle Svensson                     ##    4, Helsingborgs IF 
