= World Cup 2002    # 32 Teams

== Argentina (ARG)   # 23 players

 (6)  MF  Shao Jiayi                         ##   18, Beijing Guoan 
 (8)  MF  Li Tie                             ##   76, Liaoning 
 (9)  MF  Ma Mingyu                          ##   91, Sichuan Guancheng 
(11)  MF  Yu Genwei                          ##   17, Tianjin Teda FC 
(13)  MF  Gao Yao                            ##    4, Shandong Luneng 
(15)  MF  Zhao Junzhe                        ##   13, Liaoning 
(18)  MF  Li Xiaopeng                        ##   26, Shandong Luneng 
(19)  MF  Qi Hong                            ##   36, Shanghai Zhongyuan 

(10)  FW  Hao Haidong                        ##   95, Dalian Shide 
(12)  FW  Su Maozhen                         ##   43, Shandong Luneng 
(16)  FW  Qu Bo                              ##   16, Qingdao Hainiu 
(20)  FW  Yang Chen                          ##   26, Eintracht Frankfurt 


== Costa Rica (CRC)   # 23 players

 (1)  GK  Erick Lonnis                       ##   74, Deportivo Saprissa 
(18)  GK  Álvaro Mesén                       ##   16, Alajuelense 
(23)  GK  Lester Morgan                      ##    5, Herdiano 

 (2)  DF  Jervis Drummond                    ##   38, Deportivo Saprissa 
 (3)  DF  Luis Marín                         ##   74, Alajuelense 
 (4)  DF  Mauricio Wright                    ##   40, Herdiano 
 (5)  DF  Gilberto Martínez                  ##   27, Deportivo Saprissa 
(14)  DF  Juan José Rodríguez                ##    2, San Carlos 
(15)  DF  Harold Wallace                     ##   54, Alajuelense 
(21)  DF  Pablo Chinchilla                   ##   12, Alajuelense 
(22)  DF  Carlos Castro                      ##   22, Alajuelense 

 (6)  MF  Wilmer López                       ##   68, Alajuelense 
 (8)  MF  Mauricio Solís                     ##   84, Alajuelense 
(10)  MF  Walter Centeno                     ##   49, Deportivo Saprissa 
(17)  MF  Hernán Medford                     ##   87, Deportivo Saprissa 
(19)  MF  Rodrigo Cordero                    ##   25, Herdiano 

 (7)  FW  Rolando Fonseca                    ##   79, Deportivo Saprissa 
 (9)  FW  Paulo Wanchope                     ##   48, Manchester City 
(11)  FW  Rónald Gómez                       ##   53, OFI Crete 
(12)  FW  Winston Parks                      ##    3, Udinese 
(13)  FW  Daniel Vallejos                    ##    2, Herdiano 
(16)  FW  Steven Bryce                       ##   33, Alajuelense 
(20)  FW  William Sunsing                    ##   23, Herdiano 


== Deutschland (GER)   # 23 players

 (1)  GK  Oliver Kahn                        ##   45, Bayern Munich 
(12)  GK  Jens Lehmann                       ##   14, Borussia Dortmund 
(23)  GK  Hans-Jörg Butt                     ##    2, Bayer Leverkusen 

 (2)  DF  Thomas Linke                       ##   34, Bayern Munich 
 (3)  DF  Marko Rehmer                       ##   27, Hertha BSC 
 (4)  DF  Frank Baumann                      ##   11, Werder Bremen 
 (6)  DF  Christian Ziege                    ##   66, Tottenham Hotspur 
(15)  DF  Sebastian Kehl                     ##    8, Borussia Dortmund 
(21)  DF  Christoph Metzelder                ##    6, Borussia Dortmund 

