= World Cup 1954    # 16 Teams

== Austria (AUT)   # 22 players

(16)  MF  Albert Quixall                     ##    3, Sheffield Wednesday 
(19)  MF  Ken Armstrong                      ##    0, Chelsea 
(20)  MF  Bedford Jezzard                    ##    1, Fulham 
(21)  MF  Johnny Haynes                      ##    0, Fulham 

 (7)  FW  Stanley Matthews                   ##   36, Blackpool 
 (8)  FW  Ivor Broadis                       ##   11, Newcastle United 
 (9)  FW  Nat Lofthouse                      ##   19, Bolton Wanderers 
(10)  FW  Tommy Taylor                       ##    3, Manchester United 
(11)  FW  Tom Finney                         ##   51, Preston North End 
(15)  FW  Dennis Wilshaw                     ##    1, Wolverhampton Wanderers 
(17)  FW  Jimmy Mullen                       ##   11, Wolverhampton Wanderers 
(22)  FW  Harry Hooper                       ##    0, West Ham United 


== France (FRA)   # 22 players

 (1)  GK  François Remetter                  ##    4, FC Metz 
 (2)  GK  César Ruminski                     ##    7, Lille OSC 
 (3)  GK  Claude Abbes                       ##    0, AS Saint-Étienne 

 (4)  DF  Lazare Gianessi                    ##   12, AS Monaco 
 (5)  DF  Jacques Grimonpon                  ##    0, FC Girondins de Bordeaux 
 (6)  DF  Raymond Kaelbel                    ##    0, RC Strasbourg 
 (7)  DF  Roger Marche                       ##   37, Stade de Reims 
(14)  DF  Armand Penverne                    ##   11, Stade de Reims 

 (8)  MF  Guillaume Bieganski                ##    1, Lille OSC 
 (9)  MF  Antoine Cuissard                   ##   27, OGC Nice 
(10)  MF  Robert Jonquet                     ##   26, Stade de Reims 
(11)  MF  Xercès Louis                       ##    0, RC Lens 
(12)  MF  Jean-Jacques Marcel                ##    8, FC Sochaux 
(15)  MF  Abdelaziz Ben Tifour               ##    1, AS Troyes 
(19)  MF  Michel Leblond                     ##    1, Stade de Reims 

(13)  FW  Abderrahmane Mahjoub               ##    2, OGC Nice 
(16)  FW  René Dereuddre                     ##    1, Toulouse FC 
(17)  FW  Léon Glovacki                      ##    3, Stade de Reims 
(18)  FW  Raymond Kopa                       ##   13, Stade de Reims 
(20)  FW  Ernest Schultz                     ##    0, Olympique de Lyon 
(21)  FW  André Strappe                      ##   23, Lille OSC 
(22)  FW  Jean Vincent                       ##    2, Lille OSC 


== West Germany (FRG)   # 22 players

 (1)  GK  Toni Turek                         ##   13, Fortuna Düsseldorf 
(21)  GK  Heinz Kubsch                       ##    1, FK Pirmasens 
(22)  GK  Heinz Kwiatkowski                  ##    0, Borussia Dortmund 

 (2)  DF  Fritz Laband                       ##    1, Hamburger SV 
 (3)  DF  Werner Kohlmeyer                   ##   12, 1. FC Kaiserslautern 
 (4)  DF  Hans Bauer                         ##    2, Bayern Munich 
 (5)  DF  Herbert Erhardt                    ##    1, SpVgg Fürth 
 (7)  DF  Josef Posipal                      ##   15, Hamburger SV 
(10)  DF  Werner Liebrich                    ##    2, 1. FC Kaiserslautern 

 (6)  MF  Horst Eckel                        ##    8, 1. FC Kaiserslautern 
 (8)  MF  Karl Mai                           ##    3, SpVgg Fürth 
 (9)  MF  Paul Mebus                         ##    5, 1. FC Köln 
(11)  MF  Karl-Heinz Metzner                 ##    2, KSV Hessen Kassel 
(19)  MF  Alfred Pfaff                       ##    1, Eintracht Frankfurt 

(12)  FW  Helmut Rahn                        ##    9, Rot-Weiss Essen 
(13)  FW  Max Morlock                        ##   12, 1. FC Nuremberg 
(14)  FW  Bernhard Klodt                     ##    6, FC Schalke 04 
(15)  FW  Ottmar Walter                      ##   11, 1. FC Kaiserslautern 
(16)  FW  Fritz Walter                       ##   38, 1. FC Kaiserslautern 
(17)  FW  Richard Herrmann                   ##    7, FSV Frankfurt 
(18)  FW  Ulrich Biesinger                   ##    0, BC Augsburg 
(20)  FW  Hans Schäfer                       ##    5, 1. FC Köln 


== Hungary (HUN)   # 22 players

 (1)  GK  Gyula Grosics                      ##   31, Budapesti Honvéd SE 
(21)  GK  Sándor Gellér                      ##    5, Budapesti Vörös Lobogó 
(22)  GK  Géza Gulyás                        ##    0, Budapesti Kinizsi 

 (2)  DF  Jenő Buzánszky                     ##   23, Dorogi Bányász 
 (3)  DF  Gyula Lóránt                       ##   24, Budapesti Honvéd SE 
 (4)  DF  Mihály Lantos                      ##   30, Budapesti Vörös Lobogó 
(12)  DF  Béla Kárpáti                       ##    1, Győri Vasas SE 
(13)  DF  Pál Várhidi                        ##    0, Budapesti Dózsa 

 (5)  MF  József Bozsik                      ##   48, Budapesti Honvéd SE 
(14)  MF  Imre Kovács                        ##    8, Budapesti Vörös Lobogó 
(15)  MF  Ferenc Szojka                      ##    0, Salgótarjáni BTC 
(16)  MF  László Budai                       ##   21, Budapesti Honvéd SE 

 (6)  FW  József Zakariás                    ##   31, Budapesti Vörös Lobogó 
 (7)  FW  József Tóth                        ##    2, Csepeli Vasas 
 (8)  FW  Sándor Kocsis                      ##   36, Budapesti Honvéd SE 
 (9)  FW  Nándor Hidegkuti                   ##   36, Budapesti Vörös Lobogó 
(10)  FW  Ferenc Puskás                      ##   55, Budapesti Honvéd SE 
(11)  FW  Zoltán Czibor                      ##   26, Budapesti Honvéd SE 
(17)  FW  Ferenc Machos                      ##    0, Budapesti Honvéd SE 
