= World Cup 1994    # 24 Teams

== Argentina (ARG)   # 22 players

 (9)  MF  Zinho                              ##    -, Palmeiras 
(10)  MF  Raí                                ##    -, Paris Saint-Germain 
(16)  MF  Leonardo                           ##    -, São Paulo 
(17)  MF  Mazinho                            ##    -, Palmeiras 

 (7)  FW  Bebeto                             ##    -, Deportivo La Coruña 
(11)  FW  Romário                            ##    -, Barcelona 
(18)  FW  Paulo Sérgio                       ##    -, Bayer Leverkusen 
(19)  FW  Müller                             ##    -, São Paulo 
(20)  FW  Ronaldo                            ##    -, Cruzeiro 
(21)  FW  Viola                              ##    -, Corinthians 


== Switzerland (SUI)   # 22 players

 (1)  GK  Marco Pascolo                      ##   18, Servette 
(12)  GK  Stephan Lehmann                    ##    6, Sion 
(22)  GK  Martin Brunner                     ##   33, Grasshopper 

 (2)  DF  Marc Hottiger                      ##   41, Sion 
 (3)  DF  Yvan Quentin                       ##   14, Sion 
 (5)  DF  Alain Geiger                       ##   94, Sion 
 (8)  DF  Christophe Ohrel                   ##   28, Servette 
(13)  DF  André Egli                         ##   79, Servette 
(18)  DF  Martin Rueda                       ##    5, Lucerne 
(19)  DF  Jürg Studer                        ##    5, Zürich 

 (4)  MF  Dominique Herr                     ##   39, Sion 
 (7)  MF  Alain Sutter                       ##   46, 1. FC Nürnberg 
(10)  MF  Ciriaco Sforza                     ##   23, 1. FC Kaiserslautern 
(16)  MF  Thomas Bickel                      ##   41, Grasshopper 
(17)  MF  Sébastien Fournier                 ##    4, Sion 
(20)  MF  Patrick Sylvestre                  ##    9, Lausanne 
(21)  MF  Thomas Wyss                        ##    5, Aarau 

 (6)  FW  Georges Bregy                      ##   50, Young Boys 
 (9)  FW  Adrian Knup                        ##   34, VfB Stuttgart 
(11)  FW  Stéphane Chapuisat                 ##   36, Borussia Dortmund 
(14)  FW  Nestor Subiat                      ##    7, Lugano 
(15)  FW  Marco Grassi                       ##    9, Servette 


== Cameroon (CMR)   # 22 players

 (1)  GK  Joseph-Antoine Bell                ##    -, Saint-Étienne 
(21)  GK  Thomas N'Kono                      ##    -, CE L'Hospitalet 
(22)  GK  Jacques Songo'o                    ##    -, Metz 

 (2)  DF  André Kana-Biyik                   ##    -, Le Havre 
 (3)  DF  Rigobert Song                      ##    -, Tonnerre Yaounde 
 (4)  DF  Samuel Ekeme                       ##    -, Canon Yaounde 
 (5)  DF  Victor N'Dip                       ##    -, Olympic Mvolyé 
(13)  DF  Raymond Kalla                      ##    -, Canon Yaounde 
(14)  DF  Stephen Tataw                      ##    -, Olympic Mvolyé 
(15)  DF  Hans Agbo                          ##    -, Olympic Mvolyé 

 (6)  MF  Thomas Libiih                      ##    -, Ohud 
 (8)  MF  Emile M'Bouh                       ##    -, Nadi Qatar 
(11)  MF  Emmanuel Maboang                   ##    -, Rio Ave 
(12)  MF  Paul Loga                          ##    -, Prevoyance Yaounde 
(17)  MF  Marc-Vivien Foé                    ##    -, Canon Yaounde 
(18)  MF  Jean-Pierre Fiala                  ##    -, Canon Yaounde 

 (7)  FW  François Omam-Biyik                ##    -, Lens 
 (9)  FW  Roger Milla                        ##    -, Tonnerre Yaounde 
(10)  FW  Louis-Paul M'Fédé                  ##    -, Canon Yaounde 
(16)  FW  Alphonse Tchami                    ##    -, Odense 
(19)  FW  David Embé                         ##    -, Belenenses 
(20)  FW  Georges Mouyémé                    ##    -, Troyes 


== Colombia (COL)   # 22 players

 (1)  GK  Óscar Córdoba                      ##    -, América de Cali 
(12)  GK  Farid Mondragón                    ##    -, Argentinos Juniors 
(22)  GK  José María Pazo                    ##    -, Atlético Junior 

 (2)  DF  Andrés Escobar                     ##    -, Atlético Nacional 
 (3)  DF  Alexis Mendoza                     ##    -, Atlético Junior 
 (4)  DF  Luis Fernando Herrera              ##    -, Atlético Nacional 
(13)  DF  Néstor Ortiz                       ##    -, Once Caldas 
(15)  DF  Luis Carlos Perea                  ##    -, Atlético Junior 
(18)  DF  Óscar Cortés                       ##    -, Millonarios 
(20)  DF  Wilson Pérez                       ##    -, América de Cali 

 (5)  MF  Hernán Gaviria                     ##    -, Atlético Nacional 
 (6)  MF  Gabriel Gómez                      ##    -, Atlético Nacional 
 (8)  MF  John Harold Lozano                 ##    -, América de Cali 
(10)  MF  Carlos Valderrama                  ##    -, Atlético Junior 
(14)  MF  Leonel Álvarez                     ##    -, América de Cali 
(17)  MF  Mauricio Serna                     ##    -, Atlético Nacional 
(19)  MF  Freddy Rincón                      ##    -, Palmeiras 

 (7)  FW  Antony de Ávila                    ##    -, América de Cali 
 (9)  FW  Iván Valenciano                    ##    -, Atlético Junior 
(11)  FW  Adolfo Valencia                    ##    -, Bayern Munich 
(16)  FW  Víctor Aristizábal                 ##    -, Atlético Nacional 
(21)  FW  Faustino Asprilla                  ##    -, Parma 


== Deutschland (GER)   # 22 players

 (1)  GK  Bodo Illgner                       ##    -, 1. FC Köln 
(12)  GK  Andreas Köpke                      ##    -, 1. FC Nürnberg 
(22)  GK  Oliver Kahn                        ##    -, Karlsruher SC 

 (3)  DF  Andreas Brehme                     ##    -, 1. FC Kaiserslautern 
 (4)  DF  Jürgen Kohler                      ##    -, Juventus 
 (5)  DF  Thomas Helmer                      ##    -, Bayern München 
 (6)  DF  Guido Buchwald                     ##    -, VfB Stuttgart 
(14)  DF  Thomas Berthold                    ##    -, VfB Stuttgart 

 (2)  MF  Thomas Strunz                      ##    -, VfB Stuttgart 
 (7)  MF  Andreas Möller                     ##    -, Juventus 
 (8)  MF  Thomas Häßler                      ##    -, Roma 
(10)  MF  Lothar Matthäus                    ##    -, Bayern München 
(15)  MF  Maurizio Gaudino                   ##    -, Eintracht Frankfurt 
(16)  MF  Matthias Sammer                    ##    -, Borussia Dortmund 
(17)  MF  Martin Wagner                      ##    -, 1. FC Kaiserslautern 
(20)  MF  Stefan Effenberg                   ##    -, Fiorentina 
(21)  MF  Mario Basler                       ##    -, Werder Bremen 

 (9)  FW  Karl-Heinz Riedle                  ##    -, Borussia Dortmund 
(11)  FW  Stefan Kuntz                       ##    -, 1. FC Kaiserslautern 
(13)  FW  Rudi Völler                        ##    -, Marseille 
(18)  FW  Jürgen Klinsmann                   ##    -, AS Monaco 
(19)  FW  Ulf Kirsten                        ##    -, Bayer Leverkusen 


== Spain (ESP)   # 22 players

 (1)  GK  Andoni Zubizarreta                 ##   87, Barcelona 
(13)  GK  Santiago Cañizares                 ##    4, Celta Vigo 
(22)  GK  Julen Lopetegui                    ##    1, Logroñés 

 (2)  DF  Albert Ferrer                      ##   16, Barcelona 
 (3)  DF  Jorge Otero                        ##    5, Celta Vigo 
 (4)  DF  Francisco José Camarasa            ##    9, Valencia 
 (5)  DF  Abelardo                           ##    9, Sporting Gijón 
(12)  DF  Sergi                              ##    2, Barcelona 
(17)  DF  Voro                               ##    4, Deportivo La Coruña 
(18)  DF  Rafael Alkorta                     ##   19, Real Madrid 
(20)  DF  Miguel Ángel Nadal                 ##   11, Barcelona 

 (6)  MF  Fernando Hierro                    ##   23, Real Madrid 
 (7)  MF  Ion Andoni Goikoetxea              ##   22, Barcelona 
 (8)  MF  Julen Guerrero                     ##    9, Athletic Bilbao 
 (9)  MF  Josep Guardiola                    ##   11, Barcelona 
(10)  MF  José Mari Bakero                   ##   25, Barcelona 
(11)  MF  Txiki Begiristain                  ##   21, Barcelona 
(15)  MF  José Luis Caminero                 ##    4, Atlético Madrid 
(21)  MF  Luis Enrique                       ##    5, Real Madrid 

(14)  FW  Juanele                            ##    4, Sporting Gijón 
(16)  FW  Felipe Miñambres                   ##    4, Tenerife 
(19)  FW  Julio Salinas                      ##   43, Barcelona 


== Greece (GRE)   # 22 players

 (1)  GK  Antonis Minou                      ##    -, Apollon Smyrnis 
(15)  GK  Christos Karkamanis                ##    -, Aris Thessaloniki 
(20)  GK  Elias Atmatsidis                   ##    -, AEK 

 (2)  DF  Stratos Apostolakis                ##    -, Panathinaikos 
 (3)  DF  Thanasis Kolitsidakis              ##    -, Panathinaikos 
 (4)  DF  Stelios Manolas                    ##    -, AEK 
 (5)  DF  Ioannis Kalitzakis                 ##    -, Panathinaikos 
(13)  DF  Vaios Karagiannis                  ##    -, AEK 
(18)  DF  Kiriakos Karataidis                ##    -, Olympiacos 
(22)  DF  Alexis Alexiou                     ##    -, PAOK 

 (6)  MF  Giotis Tsalouchidis                ##    -, Olympiacos 
 (8)  MF  Nikos Nioplias                     ##    -, Panathinaikos 
(10)  MF  Tasos Mitropoulos                  ##    -, AEK 
(11)  MF  Nikos Tsiantakis                   ##    -, Olympiacos 
(12)  MF  Spiros Marangos                    ##    -, Panathinaikos 
(17)  MF  Minas Hantzidis                    ##    -, Olympiacos 
(19)  MF  Savvas Kofidis                     ##    -, Aris Thessaloniki 

 (7)  FW  Dimitris Saravakos                 ##    -, Panathinaikos 
 (9)  FW  Nikos Machlas                      ##    -, OFI 
(14)  FW  Vasilis Dimitriadis                ##    -, AEK 
(16)  FW  Alexis Alexoudis                   ##    -, OFI 
(21)  FW  Alekos Alexandris                  ##    -, Olympiacos 


== Ireland (IRL)   # 22 players

 (1)  GK  Packie Bonner                      ##   73, Celtic 
(22)  GK  Alan Kelly                         ##    3, Sheffield United 

 (2)  DF  Denis Irwin                        ##   26, Manchester United 
 (3)  DF  Terry Phelan                       ##   22, Manchester City 
 (4)  DF  Kevin Moran                        ##   69, Blackburn Rovers 
 (5)  DF  Paul McGrath                       ##   65, Aston Villa 
(11)  DF  Steve Staunton                     ##   47, Aston Villa 
(12)  DF  Gary Kelly                         ##    5, Leeds United 
(13)  DF  Alan Kernaghan                     ##   11, Manchester City 
(14)  DF  Phil Babb                          ##    5, Coventry City 

 (6)  MF  Roy Keane                          ##   22, Manchester United 
 (7)  MF  Andy Townsend                      ##   45, Aston Villa 
 (8)  MF  Ray Houghton                       ##   58, Aston Villa 
(10)  MF  John Sheridan                      ##   19, Sheffield Wednesday 
(17)  MF  Eddie McGoldrick                   ##   12, Arsenal 
(18)  MF  Ronnie Whelan                      ##   50, Liverpool 
(19)  MF  Alan McLoughlin                    ##   17, Portsmouth 
(21)  MF  Jason McAteer                      ##    5, Bolton Wanderers 

 (9)  FW  John Aldridge                      ##   57, Tranmere Rovers 
(15)  FW  Tommy Coyne                        ##   14, Motherwell 
(16)  FW  Tony Cascarino                     ##   50, Chelsea 
(20)  FW  David Kelly                        ##   16, Wolverhampton 


== Italy (ITA)   # 22 players

 (1)  GK  Gianluca Pagliuca                  ##    -, Sampdoria 
(12)  GK  Luca Marchegiani                   ##    -, Lazio 
(22)  GK  Luca Bucci                         ##    -, Parma 

 (2)  DF  Luigi Apolloni                     ##    -, Parma 
 (3)  DF  Antonio Benarrivo                  ##    -, Parma 
 (4)  DF  Alessandro Costacurta              ##    -, Milan 
 (5)  DF  Paolo Maldini                      ##    -, Milan 
 (6)  DF  Franco Baresi                      ##    -, Milan 
 (7)  DF  Lorenzo Minotti                    ##    -, Parma 
 (8)  DF  Roberto Mussi                      ##    -, Torino 
 (9)  DF  Mauro Tassotti                     ##    -, Milan 

(11)  MF  Demetrio Albertini                 ##    -, Milan 
(13)  MF  Dino Baggio                        ##    -, Juventus 
(14)  MF  Nicola Berti                       ##    -, Internazionale 
(15)  MF  Antonio Conte                      ##    -, Juventus 
(16)  MF  Roberto Donadoni                   ##    -, Milan 
(17)  MF  Alberigo Evani                     ##    -, Sampdoria 

(10)  FW  Roberto Baggio                     ##    -, Juventus 
(18)  FW  Pierluigi Casiraghi                ##    -, Lazio 
(19)  FW  Daniele Massaro                    ##    -, Milan 
(20)  FW  Giuseppe Signori                   ##    -, Lazio 
(21)  FW  Gianfranco Zola                    ##    -, Parma 


== South Korea (KOR)   # 22 players

 (1)  GK  Choi In-Young                      ##    -, Hyundai Horangi 
(21)  GK  Park Chul-Woo                      ##    -, LG Cheetahs 
(22)  GK  Lee Woon-Jae                       ##    -, Kyung Hee University 

 (2)  DF  Chung Jong-Son                     ##    -, Hyundai Horangi 
 (3)  DF  Lee Jong-Hwa                       ##    -, Ilhwa Chunma 
 (4)  DF  Kim Pan-Keun                       ##    -, LG Cheetahs 
 (5)  DF  Park Jung-bae                      ##    -, Daewoo Royals 
 (7)  DF  Shin Hong-Gi                       ##    -, Hyundai Horangi 
(12)  DF  Choi Young-Il                      ##    -, Hyundai Horangi 
(13)  DF  An Ik-Soo                          ##    -, Ilhwa Chunma 
(17)  DF  Gu Sang-Bum                        ##    -, Daewoo Royals 
(20)  DF  Hong Myung-Bo                      ##    -, POSCO Atoms 

 (6)  MF  Lee Young-jin                      ##    -, LG Cheetahs 
 (8)  MF  Noh Jung-Yoon                      ##    -, Sanfrecce Hiroshima 
 (9)  MF  Kim Joo-Sung                       ##    -, VfL Bochum 
(10)  MF  Ko Jeong-Woon                      ##    -, Ilhwa Chunma 
(14)  MF  Choi Dae-Shik                      ##    -, LG Cheetahs 
(15)  MF  Cho Jin-Ho                         ##    -, POSCO Atoms 
(16)  MF  Ha Seok-Ju                         ##    -, Daewoo Royals 
(19)  MF  Choi Moon-Sik                      ##    -, POSCO Atoms 

(11)  FW  Seo Jung-Won                       ##    -, Sangmu FC 
(18)  FW  Hwang Sun-Hong                     ##    -, POSCO Atoms 


== Morocco (MAR)   # 22 players

 (1)  GK  Khalil Azmi                        ##    -, Raja Casablanca 
(12)  GK  Said Dghay                         ##    -, Olympique Casablanca 
(22)  GK  Zakaria Alaoui                     ##    -, KAC Marrakesh 

 (2)  DF  Nacer Abdellah                     ##    -, Waregem 
 (3)  DF  Abdelkrim El Hadrioui              ##    -, FAR Rabat 
 (4)  DF  Tahar El Khalej                    ##    -, KAC Marrakesh 
 (5)  DF  Smahi Triki                        ##    -, Châteauroux 
 (6)  DF  Noureddine Naybet                  ##    -, Nantes 
(11)  DF  Rachid Daoudi                      ##    -, WAC Casablanca 
(13)  DF  Ahmed Bahja                        ##    -, KAC Marrakesh 
(14)  DF  Ahmed Masbahi                      ##    -, KAC Marrakesh 
(18)  DF  Rachid Neqrouz                     ##    -, Mouloudia Oujda 

 (7)  MF  Mustapha Hadji                     ##    -, Nancy 
 (8)  MF  Rachid Azzouzi                     ##    -, MSV Duisburg 
(10)  MF  Mustafa El Haddaoui                ##    -, Angers 
