= World Cup 1966    # 16 Teams

== Argentina (ARG)   # 22 players

(17)  MF  Leonel Sánchez                     ##   77, Universidad de Chile 
(18)  MF  Armando Tobar                      ##   29, Universidad Católica 

 (1)  FW  Pedro Araya                        ##   20, Universidad de Chile 
 (8)  FW  Alberto Fouilloux                  ##   36, Universidad Católica 
(11)  FW  Honorino Landa                     ##   23, Green Cross Temuco 
(16)  FW  Orlando Ramírez                    ##   11, Universidad de Chile 
(19)  FW  Francisco Valdés                   ##   11, Colo-Colo 
(22)  FW  Guillermo Yávar                    ##   11, Universidad de Chile 


== England (ENG)   # 22 players

 (1)  GK  Gordon Banks                       ##   27, Leicester City 
(12)  GK  Ron Springett                      ##   33, Sheffield Wednesday 
(13)  GK  Peter Bonetti                      ##    1, Chelsea 

 (2)  DF  George Cohen                       ##   24, Fulham 
 (3)  DF  Ray Wilson                         ##   45, Everton 
 (5)  DF  Jack Charlton                      ##   16, Leeds United 
 (6)  DF  Bobby Moore                        ##   41, West Ham United 
(14)  DF  Jimmy Armfield                     ##   43, Blackpool 
(15)  DF  Gerry Byrne                        ##    2, Liverpool 
(17)  DF  Ron Flowers                        ##   49, Wolverhampton 
(18)  DF  Norman Hunter                      ##    4, Leeds United 

 (4)  MF  Nobby Stiles                       ##   14, Manchester United 
 (7)  MF  Alan Ball                          ##   10, Blackpool 
 (9)  MF  Bobby Charlton                     ##   68, Manchester United 
(16)  MF  Martin Peters                      ##    3, West Ham United 
(20)  MF  Ian Callaghan                      ##    1, Liverpool 
(22)  MF  George Eastham                     ##   19, Arsenal 

 (8)  FW  Jimmy Greaves                      ##   51, Tottenham Hotspur 
(10)  FW  Geoff Hurst                        ##    4, West Ham United 
(11)  FW  John Connelly                      ##   19, Manchester United 
(19)  FW  Terry Paine                        ##   18, Southampton 
(21)  FW  Roger Hunt                         ##   13, Liverpool 


== Spain (ESP)   # 22 players

 (1)  GK  José Ángel Iribar                  ##    9, Athletic Bilbao 
(12)  GK  Antonio Betancort                  ##    2, Real Madrid 
(13)  GK  Miguel Reina                       ##    0, Córdoba 

 (2)  DF  Manuel Sanchís                     ##    2, Real Madrid 
 (3)  DF  Eladio                             ##    1, Barcelona 
 (6)  DF  Jesús Glaría                       ##    7, Atlético Madrid 
(14)  DF  Feliciano Rivilla                  ##   26, Atlético Madrid 
(15)  DF  Severino Reija                     ##   11, Real Zaragoza 
(16)  DF  Ferran Olivella                    ##   18, Barcelona 

 (4)  MF  Luis del Sol                       ##   14, Juventus 
