= World Cup 2010    # 32 Teams

== Argentina (ARG)   # 23 players

(16)  GK  Aristide Zogbo                     ##    6, Maccabi Netanya (ISR)
(23)  GK  Daniel Yeboah                      ##    4, ASEC Mimosas (CIV)

 (2)  DF  Benjamin Angoua                    ##    7, Valenciennes (FRA)
 (3)  DF  Arthur Boka                        ##   54, VfB Stuttgart (GER)
 (4)  DF  Kolo Touré                         ##   76, Manchester City (ENG)
 (6)  DF  Steve Gohouri                      ##   11, Wigan Athletic (ENG)
(17)  DF  Siaka Tiéné                        ##   55, Valenciennes (FRA)
(20)  DF  Guy Demel                          ##   26, Hamburger SV (GER)
(21)  DF  Emmanuel Eboué                     ##   52, Arsenal (ENG)
(22)  DF  Sol Bamba                          ##   16, Hibernian (SCO)

 (5)  MF  Didier Zokora                      ##   80, Sevilla (ESP)
 (9)  MF  Cheick Tioté                       ##    8, Twente (NED)
(12)  MF  Jean-Jacques Gosso                 ##    6, AS Monaco (FRA)
(13)  MF  Romaric                            ##   38, Sevilla (ESP)
(14)  MF  Emmanuel Koné                      ##   12, International (ROU)
(18)  MF  Kader Keïta                        ##   55, Galatasaray (TUR)
(19)  MF  Yaya Touré                         ##   47, Barcelona (ESP)

 (7)  FW  Seydou Doumbia                     ##    5, Young Boys (SUI)
 (8)  FW  Salomon Kalou                      ##   28, Chelsea (ENG)
(10)  FW  Gervinho                           ##   15, Lille (FRA)
(11)  FW  Didier Drogba                      ##   68, Chelsea (ENG)
(15)  FW  Aruna Dindane                      ##   54, Portsmouth (ENG)


== Chile (CHI)   # 23 players

 (1)  GK  Claudio Bravo                      ##   41, Real Sociedad (ESP)
(12)  GK  Miguel Pinto                       ##   13, Universidad de Chile (CHI)
(23)  GK  Luis Marín                         ##    2, Unión Española (CHI)

 (2)  DF  Ismael Fuentes                     ##   25, Universidad Católica (CHI)
 (3)  DF  Waldo Ponce                        ##   23, Universidad Católica (CHI)
 (5)  DF  Pablo Contreras                    ##   49, PAOK (GRE)
 (8)  DF  Arturo Vidal                       ##   21, Bayer Leverkusen (GER)
(17)  DF  Gary Medel                         ##   23, Boca Juniors (ARG)
(18)  DF  Gonzalo Jara                       ##   31, West Bromwich Albion (ENG)

 (4)  MF  Mauricio Isla                      ##   10, Udinese (ITA)
 (6)  MF  Carlos Carmona                     ##   18, Reggina (ITA)
(10)  MF  Jorge Valdivia                     ##   36, Al-Ain (UAE)
(13)  MF  Marco Estrada                      ##   20, Universidad de Chile (CHI)
(14)  MF  Matías Fernández                   ##   35, Sporting CP (POR)
(19)  MF  Gonzalo Fierro                     ##   16, Flamengo (BRA)
(20)  MF  Rodrigo Millar                     ##   19, Colo-Colo (CHI)
(21)  MF  Rodrigo Tello                      ##   32, Beşiktaş (TUR)

 (7)  FW  Alexis Sánchez                     ##   26, Udinese (ITA)
 (9)  FW  Humberto Suazo                     ##   41, Real Zaragoza (ESP)
(11)  FW  Mark González                      ##   38, CSKA Moscow (RUS)
(15)  FW  Jean Beausejour                    ##   23, América (MEX)
(16)  FW  Fabián Orellana                    ##   13, Xerez (ESP)
(22)  FW  Esteban Paredes                    ##   12, Colo-Colo (CHI)


== Cameroon (CMR)   # 23 players

 (1)  GK  Carlos Kameni                      ##   58, Espanyol (ESP)
(16)  GK  Souleymanou Hamidou                ##   40, Kayserispor (TUR)
(22)  GK  Guy N'dy Assembé                   ##    0, Valenciennes (FRA)

 (2)  DF  Benoît Assou-Ekotto                ##    4, Tottenham Hotspur (ENG)
 (3)  DF  Nicolas N'Koulou                   ##    6, AS Monaco (FRA)
 (4)  DF  Rigobert Song                      ##  133, Trabzonspor (TUR)
 (5)  DF  Sébastien Bassong                  ##    3, Tottenham Hotspur (ENG)
 (8)  DF  Geremi                             ##  109, Ankaragücü (TUR)
(12)  DF  Gaëtan Bong                        ##    0, Valenciennes (FRA)
(14)  DF  Aurélien Chedjou                   ##    8, Lille (FRA)
(19)  DF  Stéphane Mbia                      ##   29, Marseille (FRA)

 (6)  MF  Alex Song                          ##   20, Arsenal (ENG)
 (7)  MF  Landry N'Guémo                     ##   17, Celtic (SCO)
(10)  MF  Achille Emana                      ##   32, Real Betis (ESP)
(11)  MF  Jean Makoun                        ##   46, Lyon (FRA)
(18)  MF  Eyong Enoh                         ##   12, Ajax (NED)
(20)  MF  Georges Mandjeck                   ##    4, 1. FC Kaiserslautern (GER)
(21)  MF  Joël Matip                         ##    1, Schalke 04 (GER)

 (9)  FW  Samuel Eto'o                       ##   92, Internazionale (ITA)
(13)  FW  Eric Choupo-Moting                 ##    0, 1. FC Nürnberg (GER)
(15)  FW  Pierre Webó                        ##   39, Mallorca (ESP)
(17)  FW  Mohammadou Idrissou                ##   28, SC Freiburg (GER)
(23)  FW  Vincent Aboubakar                  ##    0, Cotonsport Garoua (CMR)


== Deutschland (GER)   # 23 players

 (1)  GK  Manuel Neuer                       ##    5, Schalke 04 (GER)
(12)  GK  Tim Wiese                          ##    2, Werder Bremen (GER)
(22)  GK  Hans-Jörg Butt                     ##    3, Bayern Munich (GER)

 (2)  DF  Marcell Jansen                     ##   31, Hamburger SV (GER)
 (3)  DF  Arne Friedrich                     ##   72, Hertha BSC (GER)
 (4)  DF  Dennis Aogo                        ##    2, Hamburger SV (GER)
 (5)  DF  Serdar Tasci                       ##   12, VfB Stuttgart (GER)
(14)  DF  Holger Badstuber                   ##    2, Bayern Munich (GER)
(16)  DF  Philipp Lahm                       ##   65, Bayern Munich (GER)
(17)  DF  Per Mertesacker                    ##   62, Werder Bremen (GER)
(20)  DF  Jérôme Boateng                     ##    5, Hamburger SV (GER)

 (6)  MF  Sami Khedira                       ##    5, VfB Stuttgart (GER)
 (7)  MF  Bastian Schweinsteiger             ##   74, Bayern Munich (GER)
 (8)  MF  Mesut Özil                         ##   10, Werder Bremen (GER)
(10)  MF  Lukas Podolski                     ##   73, 1. FC Köln (GER)
(13)  MF  Thomas Müller                      ##    2, Bayern Munich (GER)
(15)  MF  Piotr Trochowski                   ##   31, Hamburger SV (GER)
(18)  MF  Toni Kroos                         ##    4, Bayer Leverkusen (GER)
(21)  MF  Marko Marin                        ##    9, Werder Bremen (GER)

 (9)  FW  Stefan Kießling                    ##    4, Bayer Leverkusen (GER)
(11)  FW  Miroslav Klose                     ##   96, Bayern Munich (GER)
(19)  FW  Cacau                              ##    8, VfB Stuttgart (GER)
(23)  FW  Mario Gómez                        ##   34, Bayern Munich (GER)


== Denmark (DEN)   # 23 players

 (1)  GK  Thomas Sørensen                    ##   86, Stoke City (ENG)
(16)  GK  Stephan Andersen                   ##    5, Brøndby (DEN)
(22)  GK  Jesper Christiansen                ##   11, København (DEN)

 (3)  DF  Simon Kjær                         ##    9, Palermo (ITA)
 (4)  DF  Daniel Agger                       ##   30, Liverpool (ENG)
 (5)  DF  William Kvist                      ##   13, København (DEN)
 (6)  DF  Lars Jacobsen                      ##   29, Blackburn Rovers (ENG)
(13)  DF  Per Krøldrup                       ##   28, Fiorentina (ITA)
(15)  DF  Simon Poulsen                      ##    4, AZ (NED)
(23)  DF  Patrick Mtiliga                    ##    2, Málaga (ESP)

 (2)  MF  Christian Poulsen                  ##   72, Juventus (ITA)
 (7)  MF  Daniel Jensen                      ##   47, Werder Bremen (GER)
 (8)  MF  Jesper Grønkjær                    ##   76, København (DEN)
(10)  MF  Martin Jørgensen                   ##   94, AGF (DEN)
(12)  MF  Thomas Kahlenberg                  ##   30, VfL Wolfsburg (GER)
(14)  MF  Jakob Poulsen                      ##   11, AGF (DEN)
(17)  MF  Mikkel Beckmann                    ##    3, Randers (DEN)
(19)  MF  Dennis Rommedahl                   ##   94, Ajax (NED)
(20)  MF  Thomas Enevoldsen                  ##    4, Groningen (NED)
(21)  MF  Christian Eriksen                  ##    2, Ajax (NED)

 (9)  FW  Jon Dahl Tomasson                  ##  108, Feyenoord (NED)
(11)  FW  Nicklas Bendtner                   ##   32, Arsenal (ENG)
(18)  FW  Søren Larsen                       ##   17, MSV Duisburg (GER)


== Algeria (ALG)   # 23 players

 (1)  GK  Lounès Gaouaoui                    ##   48, ASO Chlef (ALG)
(16)  GK  Faouzi Chaouchi                    ##    9, ES Sétif (ALG)
(23)  GK  Raïs M'Bohli                       ##    1, Slavia Sofia (BUL)

 (2)  DF  Madjid Bougherra                   ##   40, Rangers (SCO)
 (3)  DF  Nadir Belhadj                      ##   44, Portsmouth (ENG)
 (4)  DF  Antar Yahia                        ##   43, VfL Bochum (GER)
 (5)  DF  Rafik Halliche                     ##   15, Nacional (POR)
(12)  DF  Habib Bellaïd                      ##    1, Eintracht Frankfurt (GER)
(14)  DF  Abdelkader Laïfaoui                ##    6, ES Sétif (ALG)
(18)  DF  Carl Medjani                       ##    0, Ajaccio (FRA)
(20)  DF  Djamel Mesbah                      ##    1, Lecce (ITA)

 (6)  MF  Yazid Mansouri                     ##   66, Lorient (FRA)
 (7)  MF  Ryad Boudebouz                     ##    1, Sochaux (FRA)
 (8)  MF  Medhi Lacen                        ##    2, Racing Santander (ESP)
(15)  MF  Karim Ziani                        ##   54, VfL Wolfsburg (GER)
(17)  MF  Adlène Guedioura                   ##    1, Wolverhampton Wanderers (ENG)
(19)  MF  Hassan Yebda                       ##    9, Portsmouth (ENG)
(21)  MF  Foued Kadir                        ##    1, Valenciennes (FRA)
(22)  MF  Djamel Abdoun                      ##    6, Nantes (FRA)

 (9)  FW  Abdelkader Ghezzal                 ##   18, Siena (ITA)
(10)  FW  Rafik Saïfi                        ##   59, Istres (FRA)
(11)  FW  Rafik Djebbour                     ##   15, AEK (GRE)
(13)  FW  Karim Matmour                      ##   21, Borussia Mönchengladbach (GER)


== England (ENG)   # 23 players

 (1)  GK  David James                        ##   50, Portsmouth (ENG)
(12)  GK  Robert Green                       ##   10, West Ham United (ENG)
(23)  GK  Joe Hart                           ##    3, Birmingham City (ENG)

 (2)  DF  Glen Johnson                       ##   22, Liverpool (ENG)
 (3)  DF  Ashley Cole                        ##   78, Chelsea (ENG)
 (5)  DF  Michael Dawson                     ##    0, Tottenham Hotspur (ENG)
 (6)  DF  John Terry                         ##   60, Chelsea (ENG)
(13)  DF  Stephen Warnock                    ##    1, Aston Villa (ENG)
(15)  DF  Matthew Upson                      ##   19, West Ham United (ENG)
(18)  DF  Jamie Carragher                    ##   36, Liverpool (ENG)
(20)  DF  Ledley King                        ##   20, Tottenham Hotspur (ENG)

 (4)  MF  Steven Gerrard                     ##   80, Liverpool (ENG)
 (7)  MF  Aaron Lennon                       ##   17, Tottenham Hotspur (ENG)
 (8)  MF  Frank Lampard                      ##   78, Chelsea (ENG)
(11)  MF  Joe Cole                           ##   54, Chelsea (ENG)
(14)  MF  Gareth Barry                       ##   36, Manchester City (ENG)
(16)  MF  James Milner                       ##    8, Aston Villa (ENG)
(17)  MF  Shaun Wright-Phillips              ##   31, Manchester City (ENG)
(22)  MF  Michael Carrick                    ##   22, Manchester United (ENG)

 (9)  FW  Peter Crouch                       ##   38, Tottenham Hotspur (ENG)
(10)  FW  Wayne Rooney                       ##   60, Manchester United (ENG)
(19)  FW  Jermain Defoe                      ##   39, Tottenham Hotspur (ENG)
(21)  FW  Emile Heskey                       ##   58, Aston Villa (ENG)


== Spain (ESP)   # 23 players

 (1)  GK  Iker Casillas                      ##  104, Real Madrid (ESP)
