= World Cup 1990    # 24 Teams

== United Arab Emirates (UAE)   # 22 players

(21)  DF  Mauro Galvão                       ##    -, Botafogo 

 (4)  MF  Dunga                              ##    -, Fiorentina 
 (5)  MF  Alemão                             ##    -, Napoli 
 (7)  MF  Bismarck                           ##    -, Vasco da Gama 
 (8)  MF  Valdo                              ##    -, Benfica 
(10)  MF  Silas                              ##    -, Central Español 
(18)  MF  Mazinho                            ##    -, Vasco da Gama 

 (9)  FW  Careca                             ##    -, Napoli 
(11)  FW  Romário                            ##    -, PSV 
(15)  FW  Müller                             ##    -, Torino 
(16)  FW  Bebeto                             ##    -, Vasco da Gama 
(17)  FW  Renato Gaúcho                      ##    -, Flamengo 
(20)  FW  Tita                               ##    -, Vasco da Gama 


== Cameroon (CMR)   # 22 players

 (1)  GK  Joseph-Antoine Bell                ##    -, Bordeaux 
(16)  GK  Thomas N'Kono                      ##    -, Espanyol 
(22)  GK  Jacques Songo'o                    ##    -, Toulon 

 (2)  DF  André Kana-Biyik                   ##    -, Metz 
 (3)  DF  Jules Onana                        ##    -, Canon Yaoundé 
 (4)  DF  Benjamin Massing                   ##    -, Créteil 
 (5)  DF  Bertin Ebwellé                     ##    -, Tonnerre Yaoundé 
(12)  DF  Alphonse Yombi                     ##    -, Canon Yaoundé 
(14)  DF  Stephen Tataw                      ##    -, Tonnerre Yaoundé 
(17)  DF  Victor N'Dip                       ##    -, Canon Yaoundé 

 (6)  MF  Emmanuel Kundé                     ##    -, Prévoyance Yaoundé 
 (8)  MF  Emile M'Bouh                       ##    -, Le Havre 
(13)  MF  Jean-Claude Pagal                  ##    -, La Roche Vendée 
(15)  MF  Thomas Libiih                      ##    -, Tonnerre Yaoundé 
(19)  MF  Roger Feutmba                      ##    -, Union Douala 
(20)  MF  Cyrille Makanaky                   ##    -, Toulon 
(21)  MF  Emmanuel Maboang                   ##    -, Canon Yaoundé 

 (7)  FW  François Omam-Biyik                ##    -, Stade Lavallois 
 (9)  FW  Roger Milla                        ##    -, JS Saint-Pierroise 
(10)  FW  Louis-Paul M'Fédé                  ##    -, Canon Yaoundé 
(11)  FW  Eugène Ekéké                       ##    -, Valenciennes 
(18)  FW  Bonaventure Djonkep                ##    -, Union Douala 


== Colombia (COL)   # 22 players

 (1)  GK  René Higuita                       ##    -, Atlético Nacional 
(12)  GK  Eduardo Niño                       ##    -, Independiente Santa Fe 

 (2)  DF  Andrés Escobar                     ##    -, Young Boys 
 (3)  DF  Gildardo Gómez                     ##    -, Atlético Nacional 
 (4)  DF  Luis Fernando Herrera              ##    -, Atlético Nacional 
 (6)  DF  José Ricardo Pérez                 ##    -, Atlético Nacional 
(13)  DF  Carlos Hoyos                       ##    -, Atlético Junior 
(15)  DF  Luis Carlos Perea                  ##    -, Atlético Nacional 
(17)  DF  Geovanis Cassiani                  ##    -, Millonarios 
(18)  DF  Wilmer Cabrera                     ##    -, América de Cali 
(21)  DF  Alexis Mendoza                     ##    -, Atlético Junior 

 (8)  MF  Gabriel Gómez                      ##    -, Independiente Medellín 
(10)  MF  Carlos Valderrama                  ##    -, Montpellier 
(11)  MF  Bernardo Redín                     ##    -, Deportivo Cali 
(14)  MF  Leonel Álvarez                     ##    -, Atlético Nacional 
(19)  MF  Freddy Rincón                      ##    -, América de Cali 
(20)  MF  Luis Fajardo                       ##    -, Atlético Nacional 

 (5)  FW  León Villa                         ##    -, Atlético Nacional 
 (7)  FW  Carlos Estrada                     ##    -, Millonarios 
 (9)  FW  Miguel Guerrero                    ##    -, América de Cali 
(16)  FW  Arnoldo Iguarán                    ##    -, Millonarios 
(22)  FW  Rubén Darío Hernández              ##    -, Millonarios 


== Costa Rica (CRC)   # 22 players

 (1)  GK  Luis Gabelo Conejo                 ##    -, AD Ramonense 
(21)  GK  Hermidio Barrantes                 ##    -, Municipal Puntarenas 
(22)  GK  Miguel Segura                      ##    -, Deportivo Saprissa 

 (2)  DF  Vladimir Quesada                   ##    -, Deportivo Saprissa 
 (3)  DF  Róger Flores                       ##    -, Deportivo Saprissa 
 (4)  DF  Rónald González Brenes             ##    -, Deportivo Saprissa 
 (5)  DF  Marvin Obando                      ##    -, CS Herediano 
(13)  DF  Miguel Davis                       ##    -, Alajuelense 
